Name, e-mail
Mr Jacob Rees-Mogg MP,jacob.reesmogg.mp@parliament.uk
Rachel Reeves MP,rachel.reeves.mp@parliament.uk
Emma Reynolds MP,emma.reynolds.mp@parliament.uk
Jonathan Reynolds MP,jonathan.reynolds.mp@parliament.uk
Marie Rimmer MP,marie.rimmer.mp@parliament.uk
Ms Margaret Ritchie MP,margaret.ritchie.mp@parliament.uk
Rt Hon Angus Robertson MP,robertsona@parliament.uk
Mr Laurence Robertson MP,robertsonl@parliament.uk
Gavin Robinson MP,gavin.robinson.mp@parliament.uk
Mr Geoffrey Robinson MP,robinsong@parliament.uk
Mary Robinson MP,mary.robinson.mp@parliament.uk
Andrew Rosindell MP,andrew.rosindell.mp@parliament.uk
Steve Rotheram MP,steve.rotheram.mp@parliament.uk
Rt Hon Amber Rudd MP,amber.rudd.mp@parliament.uk
David Rutley MP,david.rutley.mp@parliament.uk
Rt Hon Joan Ryan MP,joan.ryan.mp@parliament.uk
Rt Hon Alex Salmond MP,alex.salmond.mp@parliament.uk
Antoinette Sandbach MP,antoinette.sandbach.mp@parliament.uk
Liz Saville Roberts MP,liz.savilleroberts.mp@parliament.uk
Paul Scully MP,paul.scully.mp@parliament.uk
Andrew Selous MP,andrew.selous.mp@parliament.uk
Naz Shah MP,naz.shah.mp@parliament.uk
Jim Shannon MP,jim.shannon.mp@parliament.uk
Rt Hon Grant Shapps MP,shappsg@parliament.uk
Alok Sharma MP,alok.sharma.mp@parliament.uk
Mr Virendra Sharma MP,sharmav@parliament.uk
Mr Barry Sheerman MP,sheermanb@parliament.uk
Alec Shelbrooke MP,alec.shelbrooke.mp@parliament.uk
Tommy Sheppard MP,tommy.sheppard.mp@parliament.uk
Paula Sherriff MP,paula.sherriff.mp@parliament.uk
Mr Gavin Shuker MP,gavin.shuker.mp@parliament.uk
Tulip Siddiq MP,tulip.siddiq.mp@parliament.uk
David Simpson MP,simpsond@parliament.uk
Rt Hon Keith Simpson MP,keith.simpson.mp@parliament.uk
Chris Skidmore MP,chris.skidmore.mp@parliament.uk
Mr Dennis Skinner MP,skinnerd@parliament.uk
Andy Slaughter MP,slaughtera@parliament.uk
Ruth Smeeth MP,ruth.smeeth.mp@parliament.uk
Rt Hon Andrew Smith MP,smithad@parliament.uk
Angela Smith MP,officeofangelasmithmp@parliament.uk
Cat Smith MP,cat.smith.mp@parliament.uk
Chloe Smith MP,chloe.smith.mp@parliament.uk
Henry Smith MP,henry.smith.mp@parliament.uk
Jeff Smith MP,jeff.smith.mp@parliament.uk
Julian Smith MP,julian.smith.mp@parliament.uk
Nick Smith MP,nick.smith.mp@parliament.uk
Owen Smith MP,owen.smith.mp@parliament.uk
Royston Smith MP,royston.smith.mp@parliament.uk
Karin Smyth MP,karin.smyth.mp@parliament.uk
Rt Hon Sir Nicholas Soames MP,nicholas.soames.mp@parliament.uk
Amanda Solloway MP,amanda.solloway.mp@parliament.uk
Rt Hon Anna Soubry MP,anna.soubry.mp@parliament.uk
Rt Hon John Spellar MP,john.spellar.mp@parliament.uk
Rt Hon Caroline Spelman MP,none
Mark Spencer MP,mark.spencer.mp@parliament.uk
Keir Starmer MP,keir.starmer.mp@parliament.uk
Chris Stephens MP,chris.stephens.mp@parliament.uk
Andrew Stephenson MP,andrew.stephenson.mp@parliament.uk
Jo Stevens MP,jo.stevens.mp@parliament.uk
John Stevenson MP,john.stevenson.mp@parliament.uk
Bob Stewart MP,bob.stewart.mp@parliament.uk
Iain Stewart MP,iain.stewart.mp@parliament.uk
Rory Stewart MP,rory.stewart.mp@parliament.uk
Mr Gary Streeter MP,deans@parliament.uk
Wes Streeting MP,wes.streeting.mp@parliament.uk
Mel Stride MP,mel.stride.mp@parliament.uk
Graham Stringer MP,graham.stringer.mp@parliament.uk
Rt Hon Gisela Stuart MP,stuartg@parliament.uk
Graham Stuart MP,graham.stuart.mp@parliament.uk
Julian Sturdy MP,julian.sturdy.mp@parliament.uk
Rishi Sunak MP,rishi.sunak.mp@parliament.uk
Rt Hon Sir Desmond Swayne MP,swayned@parliament.uk
Rt Hon Hugo Swire MP,hugo.swire.mp@parliament.uk
Mr Robert Syms MP,symsmp.office@parliament.uk
Mark Tami MP,tamim@parliament.uk
Alison Thewliss MP,alison.thewliss.mp@parliament.uk
Derek Thomas MP,derek.thomas.mp@parliament.uk
Gareth Thomas MP,thomasgr@parliament.uk
Nick Thomas-Symonds MP,nick.thomassymonds.mp@parliament.uk
Owen Thompson MP,owen.thompson.mp@parliament.uk
Michelle Thomson MP,michelle.thomson.mp@parliament.uk
Emily Thornberry MP,thornberrye@parliament.uk
Maggie Throup MP,maggie.throup.mp@parliament.uk
Rt Hon Stephen Timms MP,timmss@parliament.uk
Edward Timpson MP,timpsone@parliament.uk
Kelly Tolhurst MP,kelly.tolhurst.mp@parliament.uk
Justin Tomlinson MP,justin.tomlinson.mp@parliament.uk
Michael Tomlinson MP,michael.tomlinson.mp@parliament.uk
Craig Tracey MP,craig.tracey.mp@parliament.uk
David Tredinnick MP,tredinnickd@parliament.uk
Mrs Anne-Marie Trevelyan MP,annemarie.trevelyan.mp@parliament.uk
Jon Trickett MP,trickettj@parliament.uk
Rt Hon Elizabeth Truss MP,none
Tom Tugendhat MP,tom.tugendhat.mp@parliament.uk
Anna Turley MP,anna.turley.mp@parliament.uk
Mr Andrew Turner MP,none
Karl Turner MP,karl.turner.mp@parliament.uk
Derek Twigg MP,derek.twigg.mp@parliament.uk
Stephen Twigg MP,stephen.twigg.mp@parliament.uk
Rt Hon Andrew Tyrie MP,andrew.tyrie.mp@parliament.uk
Mr Chuka Umunna MP,chuka.umunna.mp@parliament.uk
Mr Edward Vaizey MP,vaizeye@parliament.uk
Mr Shailesh Vara MP,shailesh.vara.mp@parliament.uk
Rt Hon Keith Vaz MP,vazk@parliament.uk
Valerie Vaz MP,valerie.vaz.mp@parliament.uk
Martin Vickers MP,martin.vickers.mp@parliament.uk
Rt Hon Theresa Villiers MP,none
Mr Charles Walker MP,charles.walker.mp@parliament.uk
Mr Robin Walker MP,robin.walker.mp@parliament.uk
Mr Ben Wallace MP,wallaceb@parliament.uk
David Warburton MP,david.warburton.mp@parliament.uk
Matt Warman MP,matt.warman.mp@parliament.uk
Dame Angela Watkinson MP,angela.watkinson.mp@parliament.uk
Tom Watson MP,tom.watson.mp@parliament.uk
Mike Weir MP,weirm@parliament.uk
Catherine West MP,catherine.west.mp@parliament.uk
James Wharton MP,james.wharton.mp@parliament.uk
Helen Whately MP,helen.whately.mp@parliament.uk
Heather Wheeler MP,heather.wheeler.mp@parliament.uk
Chris White MP,chris.white.mp@parliament.uk
Dr Eilidh Whiteford MP,eilidh.whiteford.mp@parliament.uk
Dr Alan Whitehead MP,whiteheada@parliament.uk
Dr Philippa Whitford MP,philippa.whitford.mp@parliament.uk
Craig Whittaker MP,craig.whittaker.mp@parliament.uk
Rt Hon John Whittingdale MP,john.whittingdale.mp@parliament.uk
Bill Wiggin MP,bill.wiggin.mp@parliament.uk
Craig Williams MP,craig.williams.mp@parliament.uk
Hywel Williams MP,hywel.williams.mp@parliament.uk
Mr Mark Williams MP,williamsmf@parliament.uk
Rt Hon Gavin Williamson MP,gavin.williamson.mp@parliament.uk
Corri Wilson MP,corri.wilson.mp@parliament.uk
Phil Wilson MP,phil.wilson.mp@parliament.uk
Mr Rob Wilson MP,robwilsonmp@parliament.uk
Sammy Wilson MP,barronj@parliament.uk
Mr David Winnick MP,winnickd@parliament.uk
Rt Hon Dame Rosie Winterton MP,rosie.winterton.mp@parliament.uk
Pete Wishart MP,wishartp@parliament.uk
Dr Sarah Wollaston MP,sarah.wollaston.mp@parliament.uk
Mike Wood MP,mikej.wood.mp@parliament.uk
John Woodcock MP,john.woodcock.mp@parliament.uk
William Wragg MP,none
Mr Iain Wright MP,wrighti@parliament.uk
Rt Hon Jeremy Wright QC MP,jeremy@jeremywright.org.uk
Nadhim Zahawi MP,nadhim.zahawi.mp@parliament.uk
Daniel Zeichner MP,daniel@danielzeichner.co.uk
